Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.77     0.00   488813     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.77     0.00   488813     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.77     0.00   488813     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.77     0.00   488813     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.77     0.00   488813     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.77     0.00   314026     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<long long, false> > >::_M_node_allocator()
  0.00      0.77     0.00   314026     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<long long, false> >, true>::_M_get()
  0.00      0.77     0.00   288567     0.00     0.00  std::__detail::_Hash_code_base<long long, long long, std::__detail::_Identity, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_extract() const
  0.00      0.77     0.00   251753     0.00     0.00  std::__detail::_Hash_node<long long, false>::_M_next() const
  0.00      0.77     0.00   246301     0.00     0.00  std::_Rb_tree<std::vector<int, std::allocator<int> >, std::pair<std::vector<int, std::allocator<int> > const, int>, std::_Select1st<std::pair<std::vector<int, std::allocator<int> > const, int> >, std::less<std::vector<int, std::allocator<int> > >, std::allocator<std::pair<std::vector<int, std::allocator<int> > const, int> > >::_M_end()
  0.00      0.77     0.00   245713     0.00     0.00  std::__detail::_Hash_code_base<long long, long long, std::__detail::_Identity, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h2() const
  0.00      0.77     0.00   245713     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.77     0.00   245713     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_M_cget() const
  0.00      0.77     0.00   245700     0.00     0.00  std::hash<long long>::operator()(long long) const
  0.00      0.77     0.00   245700     0.00     0.00  std::__detail::_Hash_code_base<long long, long long, std::__detail::_Identity, std::hash<long long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.00      0.77     0.00   245700     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<long long>, true>::_M_cget() const
  0.00      0.77     0.00   245700     0.00     0.00  long long const& std::__detail::_Identity::operator()<long long const&>(long long const&) const
  0.00      0.77     0.00   245039     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00      0.77     0.00   245039     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.77     0.00   245039     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      0.77     0.00   245039     0.00     0.00  int* std::__copy_move_a1<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.77     0.00   245039     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00      0.77     0.00   245038     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.77     0.00   245038     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
